# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2005_bis_2011_CSV
# Titel (Titel der Datei): Traktanden SR 2005 bis 2011 ohne Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte zu einer Stadtratssitzung der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2005-bis-2011-ohne-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 798720
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Die Datensätze vom Jahr 2005 bis 2012 enthalten noch keine Beschlüsse und die Beschlussnummern sind nicht vollständig aufgeführt. Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.


Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Datum
20;"Berufsfeuerwehr der Stadt Bern: Ersatz eines Pionierfahrzeugs; Kredit (FSU: Glauser / SUE: Nause)   vorbehältlich Verabschiedung in der FSU vom 21.11.2011";SRB 2011-553;Beschlossen;01.12.2011
21;"Postulat Fraktion GB/JA! (Hasim Sancar, GB): Zufahrt für Gehbehinderte in die obere Altstadt; Ablehnung  (SUE: Nause)";SRB 2011-554;Beschlossen;01.12.2011
22;"Postulat Fraktion GB/JA! (Lea Bill/Rahel Ruch, JA!): 'My Bag Is Not Plastic' - Die Stadt Bern als plastiksackfreie Zone; Ablehnung  (SUE: Nause)";SRB 2011-555;Beschlossen;01.12.2011
23;"Postulat Fraktion GFL/EVP (Manuel C. Widmer/Susanne Elsener, GFL): Neue Energien für Bern: Ein 'Fussgänger/innen'-Versuchs-Kraftwerk für Bern! Fussgängerzonen können zu echten Quellen sauberer Energie werden; Ablehnung  (SUE: Nause)";SRB 2011-556;Beschlossen;01.12.2011
24;"Interpellation Henri-Charles Beuchat (CVP): Anti-AKW-Kundgebung anstelle von Schulunterricht - Gegen den pädagogischen Aufruf zum zivilen Ungehorsam (SUE: Nause)";SRB 2011-557;Beschlossen;01.12.2011
25;"Interpellation Fraktion GB/JA! (Hasim Sancar, GB): Die städtische Verwaltung ist keine Werbefläche für die Privatwirtschaft (SUE: Nause)";SRB 2011-558;Beschlossen;01.12.2011
1;"Wahlen in Schulkommission (Sprachheilschule)  (BSS: Olibet)";SRB 2011-505;Beschlossen;17.11.2011
2;Protokollgenehmigung (Protokoll Nr. 17 vom 22. September 2011);SRB 2011-506;Beschlossen;17.11.2011
3;"Dringliche Interpellation Rolf Zbinden (PdA): Sozial- und Sicherheitsdumping auf der Baustelle der Berner Kehrichtverbrennungsanlage (SUE: Nause)";SRB 2011-507;Beschlossen;17.11.2011
4;"Kleine Anfrage Peter Ammann (GLP): AKW Mühleberg - Strahlenschutzausrüstung für die Berufsfeuerwehr der Stadt Bern? (SUE: Nause)";SRB 2011-508;Beschlossen;17.11.2011
5;"Motion Fraktion GB/JA! (Aline Trede, GB): Beitritt der Stadt Bern zum Solidaritätskomitee 'Mühleberg Verfahren'; Annahme als Richtlinie  (SUE: Nause)  verschoben vom 3. November 2011  ";SRB 2011-509;Beschlossen;17.11.2011
6;"Motion Fraktion SVPplus (Peter Bühler, SVP): Der Bümplizer-Chilbi droht das Aus! Das muss verhindert werden!; Ablehnung  (SUE: Nause)  verschoben vom 3. November 2011";SRB 2011-510;Beschlossen;17.11.2011
